normalized_question_category,total_examples,valid_answers,invalid_answers,empty_answers,overall_accuracy,valid_only_accuracy,support_label_0,precision_label_0,recall_label_0,f1_label_0,support_label_1,precision_label_1,recall_label_1,f1_label_1,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1
CausaleEsplicita,800,800,0,0,0.84125,0.84125,387,0.8125,0.8733850129198967,0.841843088418431,413,0.8723958333333334,0.8111380145278451,0.8406524466750315,338,49,78,335
CausaleImplicita,800,800,0,0,0.86875,0.86875,404,0.8585131894484412,0.8861386138613861,0.8721071863580999,396,0.8798955613577023,0.851010101010101,0.865211810012837,358,46,59,337
Controfattuale,1600,1600,0,0,0.650625,0.650625,821,0.7003058103975535,0.5578562728380024,0.6210169491525424,779,0.6162790697674418,0.748395378690629,0.6759420289855073,458,363,196,583
ImplicitoParziale,1600,1600,0,0,0.7225,0.7225,805,0.6964091403699674,0.7950310559006211,0.74245939675174,795,0.7577092511013216,0.6490566037735849,0.6991869918699187,640,165,279,516
ImplicitoTot,1600,1600,0,0,0.808125,0.808125,821,0.7799564270152506,0.8721071863580999,0.8234617596319724,779,0.8460410557184751,0.7406931964056482,0.7898699520876113,716,105,202,577
Incertezza,1600,1600,0,0,0.904375,0.904375,740,0.880674448767834,0.9175675675675675,0.8987425545996028,860,0.9264173703256936,0.8930232558139535,0.9094138543516874,679,61,92,768
OutofScope,1600,1600,0,0,0.92375,0.92375,769,0.9089759797724399,0.9349804941482445,0.9217948717948719,831,0.9381953028430161,0.9133574007220217,0.925609756097561,719,50,72,759
Pianificazione,1600,1600,0,0,0.724375,0.724375,822,0.7063921993499458,0.7931873479318735,0.7472779369627508,778,0.7488921713441654,0.6516709511568124,0.6969072164948454,652,170,271,507
Sentiment,1600,1600,0,0,0.844375,0.844375,804,0.8073089700996677,0.9067164179104478,0.8541300527240773,796,0.8923959827833573,0.7814070351758794,0.8332217012726055,729,75,174,622
SpazialeParziale,1600,1600,0,0,0.700625,0.700625,812,0.7335203366058906,0.6440886699507389,0.6859016393442622,788,0.6741826381059752,0.7588832487309645,0.7140298507462687,523,289,190,598
SpazialeTotale,1600,1600,0,0,0.86875,0.86875,788,0.9176300578034682,0.8058375634517766,0.858108108108108,812,0.8314977973568282,0.9298029556650246,0.877906976744186,635,153,57,755
TemporaleDurata,1600,1600,0,0,0.7175,0.7175,813,0.7187878787878788,0.7293972939729397,0.7240537240537239,787,0.7161290322580646,0.7052096569250318,0.7106274007682459,593,220,232,555
TemporaleParziale,1600,1600,0,0,0.733125,0.733125,768,0.7619047619047619,0.6458333333333334,0.6990838618745595,832,0.7133825079030558,0.8137019230769231,0.7602470522178552,496,272,155,677
