normalized_question_category,n_samples,valid_predictions,invalid_predictions,empty_raw_outputs,Accuracy,Accuracy_valid_only,Support_0,Predicted_as_0,Precision_0,Recall_0,F1_0,Support_1,Predicted_as_1,Precision_1,Recall_1,F1_1,LogProb_Accuracy,LogProb_Support_0,LogProb_Predicted_as_0,LogProb_Precision_0,LogProb_Recall_0,LogProb_F1_0,LogProb_Support_1,LogProb_Predicted_as_1,LogProb_Precision_1,LogProb_Recall_1,LogProb_F1_1,avg_logprob_margin,avg_confidence,avg_entropy,avg_confidence_correct_logprob,avg_confidence_wrong_logprob,avg_margin_correct_logprob,avg_margin_wrong_logprob,free_vs_logprob_agreement_rate,ambiguous_rate,high_confidence_wrong_rate,low_confidence_correct_rate,actual_0_pred_0,actual_0_pred_1,actual_1_pred_0,actual_1_pred_1,logprob_actual_0_pred_0,logprob_actual_0_pred_1,logprob_actual_1_pred_0,logprob_actual_1_pred_1
CausaleEsplicita,800,800,0,0,0.48375,0.48375,387,472,0.4724576271186441,0.5762273901808785,0.5192083818393481,413,328,0.5,0.39709443099273606,0.4426450742240216,0.485,387,471,0.4734607218683652,0.5762273901808785,0.5198135198135198,413,329,0.5015197568389058,0.39951573849878935,0.44474393530997314,0.432791748046875,0.6018687759339809,0.6569654243546768,0.5985568623567364,0.6049877625067257,0.42242368717783507,0.4425558442050971,0.99875,0.30875,0.01,0.17125,223,164,249,164,223,164,248,165
CausaleImplicita,800,800,0,0,0.5025,0.5025,404,534,0.5056179775280899,0.6683168316831684,0.5756929637526653,396,266,0.49624060150375937,0.3333333333333333,0.39879154078549844,0.5025,404,534,0.5056179775280899,0.6683168316831684,0.5756929637526653,396,266,0.49624060150375937,0.3333333333333333,0.39879154078549844,0.4928851318359375,0.6141598884016275,0.6476954543001621,0.6130198649506071,0.6153113693747688,0.48600624805659204,0.4998331501256281,1.0,0.27125,0.02,0.14375,270,134,264,132,270,134,264,132
Controfattuale,1600,1600,0,0,0.505,0.505,821,997,0.5145436308926781,0.6248477466504263,0.5643564356435643,779,603,0.4892205638474295,0.37869062901155326,0.42691751085383506,0.505,821,997,0.5145436308926781,0.6248477466504263,0.5643564356435643,779,603,0.4892205638474295,0.37869062901155326,0.42691751085383506,0.3586811828613281,0.5858216789737344,0.6671122128281952,0.5852740240274089,0.5863803976563492,0.3577871794747834,0.3595932469223485,1.0,0.361875,0.0025,0.1925,513,308,484,295,513,308,484,295
ImplicitoParziale,1600,1600,0,0,0.499375,0.499375,805,958,0.5020876826722338,0.5975155279503106,0.5456608054452637,795,642,0.4953271028037383,0.4,0.44258872651356995,0.49875,805,957,0.5015673981191222,0.5962732919254659,0.5448354143019296,795,643,0.49455676516329705,0.4,0.4422809457579972,0.37683319091796874,0.5896599896997213,0.6648768339774179,0.5882492509850284,0.591063692311099,0.3682325932017544,0.3853908928849751,0.999375,0.3325,0.01125,0.1625,481,324,477,318,480,325,477,318
ImplicitoTot,1600,1600,0,0,0.488125,0.488125,821,1120,0.5008928571428571,0.6833130328867235,0.5780525502318393,779,480,0.4583333333333333,0.28241335044929394,0.34948371723590144,0.488125,821,1120,0.5008928571428571,0.6833130328867235,0.5780525502318393,779,480,0.4583333333333333,0.28241335044929394,0.34948371723590144,0.46300262451171875,0.6076958483830094,0.6523110352722781,0.6092178234675477,0.6062444899690602,0.47097883822823305,0.455396491529304,1.0,0.280625,0.01875,0.135625,561,260,559,220,561,260,559,220
Incertezza,1600,1600,0,0,0.47,0.47,740,1470,0.463265306122449,0.9202702702702703,0.616289592760181,860,130,0.5461538461538461,0.08255813953488372,0.14343434343434344,0.47,740,1470,0.463265306122449,0.9202702702702703,0.616289592760181,860,130,0.5461538461538461,0.08255813953488372,0.14343434343434344,0.7988612365722656,0.6781175309419631,0.6020231201114141,0.6798855528393959,0.6765496624668814,0.8065110876205119,0.7920774063974056,1.0,0.119375,0.065625,0.05125,681,59,789,71,681,59,789,71
OutofScope,1600,1600,0,0,0.4775,0.4775,769,1329,0.4747930775018811,0.8205461638491548,0.6015252621544328,831,271,0.4907749077490775,0.16004813477737664,0.24137931034482757,0.4775,769,1329,0.4747930775018811,0.8205461638491548,0.6015252621544328,831,271,0.4907749077490775,0.16004813477737664,0.24137931034482757,0.44733673095703125,0.6064779724553228,0.6580631720848606,0.6078812085209092,0.6051955892566289,0.4551433143815445,0.440202484860945,1.0,0.250625,0.005,0.11875,631,138,698,133,631,138,698,133
Pianificazione,1600,1600,0,0,0.499375,0.499375,822,1025,0.5102439024390244,0.6362530413625304,0.566323768272875,778,575,0.48,0.35475578406169667,0.40798226164079826,0.499375,822,1025,0.5102439024390244,0.6362530413625304,0.566323768272875,778,575,0.48,0.35475578406169667,0.40798226164079826,0.4935124206542969,0.6135490632802248,0.6465665443024937,0.6126262736559213,0.614469548810585,0.49000551226142053,0.497010572721598,1.0,0.28375,0.028125,0.15,523,299,502,276,523,299,502,276
Sentiment,1600,1600,0,0,0.498125,0.498125,804,1453,0.5003441156228493,0.904228855721393,0.6442179884802836,796,147,0.47619047619047616,0.08793969849246232,0.1484623541887593,0.498125,804,1453,0.5003441156228493,0.904228855721393,0.6442179884802836,796,147,0.47619047619047616,0.08793969849246232,0.1484623541887593,0.871442642211914,0.6855607567355037,0.5859116508366996,0.6894293431206658,0.6817210763507288,0.8858216787072616,0.8571710455907534,1.0,0.138125,0.091875,0.058125,727,77,726,70,727,77,726,70
SpazialeParziale,1600,1600,0,0,0.50375,0.50375,812,530,0.5169811320754717,0.3374384236453202,0.4083457526080477,788,1070,0.497196261682243,0.6751269035532995,0.5726587728740581,0.504375,812,529,0.5179584120982986,0.3374384236453202,0.4086502609992543,788,1071,0.4976657329598506,0.6763959390862944,0.5734265734265734,0.3427142333984375,0.5826342678815126,0.6708978205925817,0.582385760479257,0.582887162551904,0.3429537445786865,0.3424704937736444,0.999375,0.320625,0.003125,0.166875,274,538,256,532,274,538,255,533
SpazialeTotale,1600,1600,0,0,0.506875,0.506875,788,741,0.4993252361673414,0.46954314720812185,0.4839764551994768,812,859,0.5133876600698487,0.5431034482758621,0.5278276481149012,0.506875,788,741,0.4993252361673414,0.46954314720812185,0.4839764551994768,812,859,0.5133876600698487,0.5431034482758621,0.5278276481149012,0.43087860107421877,0.6010514998808503,0.6574780272100679,0.5999685506050448,0.6021646454609241,0.4261834348027127,0.4357046845294677,1.0,0.3025,0.015,0.155,370,418,371,441,370,418,371,441
TemporaleDurata,1600,1600,0,0,0.504375,0.504375,813,914,0.5109409190371991,0.5744157441574416,0.540822235089751,787,686,0.4956268221574344,0.4320203303684879,0.461642905634759,0.504375,813,914,0.5109409190371991,0.5744157441574416,0.540822235089751,787,686,0.4956268221574344,0.4320203303684879,0.461642905634759,0.3321490478515625,0.5799426948651671,0.6706066157894973,0.5817679801985824,0.5780851850744153,0.3407694876858736,0.3233764186633039,1.0,0.399375,0.0025,0.19875,467,346,447,340,467,346,447,340
TemporaleParziale,1600,1600,0,0,0.485625,0.485625,768,655,0.4580152671755725,0.390625,0.42164441321152496,832,945,0.5047619047619047,0.5733173076923077,0.5368598761958358,0.485625,768,655,0.4580152671755725,0.390625,0.42164441321152496,832,945,0.5047619047619047,0.5733173076923077,0.5368598761958358,0.35524169921875,0.5855550093203783,0.6687729693364841,0.5858231734585118,0.5853018337002936,0.3550866714929215,0.3553880619684083,1.0,0.333125,0.004375,0.150625,300,468,355,477,300,468,355,477
